,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
299,200720130024_R04C01,56.3890748213393,65.7912292836521,42.1617158698611
300,200720130024_R05C01,62.3234941277381,62.8592880206636,45.8378603925397
301,200720130024_R06C01,60.0173065568694,63.1301091793142,49.1698042996918
302,200720130024_R07C01,61.7901316921671,65.2850555585282,44.0099207968706
303,200720130024_R08C01,64.6820414502985,72.9417209329829,48.4331244001489
304,200712160100_R01C01,72.5698442475646,71.236213096759,57.197313910609
305,200712160100_R02C01,71.3283714172604,75.6943518930732,58.3078278051717
306,200712160100_R03C01,52.635714368249,57.4702445886575,35.3454281341621
307,200712160100_R04C01,60.5816503942916,62.8411515796268,40.0024865173177
308,200712160100_R05C01,38.0224760362554,43.2185140553736,20.3774677909887
309,200712160100_R06C01,33.3606384889198,41.4666945095211,22.3603692974456
310,200712160100_R07C01,54.9397464028245,64.5941496557566,46.2733321097939
311,200712160100_R08C01,56.1632248286265,61.6892132870268,48.3093669417096
312,200720060107_R01C01,56.2737966590582,60.893492611637,41.3648819878146
313,200720060107_R02C01,57.7438859974037,64.3268399452401,42.4871092415344
314,200720060107_R03C01,40.3875484641863,46.1105600615495,23.4856074493805
315,200720060107_R04C01,44.8846790542834,48.2510483845769,30.6255320637721
316,200720060107_R05C01,37.1157032222602,46.0783918890309,22.4452082536813
317,200720060107_R06C01,42.5257485688112,45.2300183440325,33.0317633139494
318,200720060107_R07C01,59.4822929616572,68.2814276647253,45.8223057087807
319,200720060107_R08C01,61.0758940031926,74.1199485120706,51.61781720467
320,200720060060_R01C01,36.8197133779323,39.0672078922529,18.1177981892252
